GAL,Uniprot,Annotation
SPATA9,Q9BWV2,testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
RHOBTB3,O94955,
GLRX,P35754,b cell*megakaryocyte*nk cell monocyte*skeletal*gallbladder*parathyroid*pituitary*adipose
LINC01554,Q52M75,
ELL2,O00472,monocyte
CAST,O15446,megakaryocyte*nk cell monocyte
ERAP1,Q9NZ08,
ERAP2,Q6P179,lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
LNPEP,Q9UIQ6,nk cell*cell*granulocyte*t cells*monocyte
RIOK2,Q9BVS4,
RGMB,Q6NW40,
FAM174A,Q8TBP5,
ST8SIA4,Q92187,lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*monocyte
SLCO4C1,Q6ZQN7,kidney*intestine*bonemarrow*seminal*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*nk cell*cell*granulocyte*t cells*monocyte
SLCO6A1,Q86UG4,testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
GIN1,Q9NXP7,
C5orf30,,
NUDT12,Q9BQG2,
FER,P16591,granulocyte*t cells*monocyte
SLC25A46,Q96AG3,
TSLP,Q969D9,urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
CAMK4,Q16566,t cell cd4*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*t cells*monocyte
STARD4,Q96DR4,monocyte
NREP,Q16612,megakaryocyte*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
EPB41L4A,Q9HCS5,
APC,P25054,brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
SRP19,P09132,
REEP5,Q00765,megakaryocyte
ZRSR1,,
DCP2,Q8IU60,monocyte
MCC,P23508,ovary*endometrium*breast*kidney*intestine*bonemarrow*seminal*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
TRIM36,Q9NQ86,testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
PGGT1B,P53609,
CCDC112,Q8NEF3,testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
FEM1C,Q96JP0,bonemarrow*seminal*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*monocyte
TICAM2,Q86XR7,monocyte
CDO1,Q16878,choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
ATG12,O94817,
AP3S1,Q92572,
COMMD10,Q9Y6G5,
SEMA6A,Q9H2E6,brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
TNFAIP8,O95379,lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*monocyte
HSD17B4,P51659,liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
PRR16,Q569H4,tongue*esophagus*ovary*endometrium*breast*kidney*intestine*bonemarrow*seminal*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
SRFBP1,Q8NEF9,
LOX,P28300,adipose
SNCAIP,Q9Y6H5,endometrium*breast*kidney*intestine*bonemarrow*seminal*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
SNX2,O60749,megakaryocyte*b cell*hofbauer*plasma cell*dendritic cell*erythroid cell*kupffer*macrophage*nk cell*cell*granulocyte*t cells*monocyte
SNX24,Q9Y343,
CSNK1G3,Q9Y6M4,
ZNF608,Q9ULD9,
GRAMD3,,
ALDH7A1,P49419,liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
PHAX,Q9H814,
LMNB1,P20700,lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*granulocyte*t cells*monocyte
MARCH3,,
PRRC1,Q96M27,
HINT1,P49773,b cell*megakaryocyte*dendritic cell*nk cell monocyte*nk t cell*t cell cd4*t cell cd8*b cell
LYRM7,Q5U5X0,tongue*esophagus*ovary*endometrium*breast*kidney*intestine*bonemarrow*seminal*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
CDC42SE2,Q9NRR3,megakaryocyte*t cells*monocyte
FNIP1,Q8TF40,
ACSL6,Q9UKU0,brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
IL3,P08700,
CSF2,P04141,lung*skin*adrenal*tongue*esophagus*ovary*endometrium*breast*kidney*intestine*bonemarrow*seminal*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*t cells*monocyte
PDLIM4,P50479,
SLC22A4,Q9H015,bonemarrow*seminal*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*erythroid cell*kupffer*macrophage*nk cell*cell*granulocyte*t cells*monocyte
SLC22A5,O76082,skeletal*gallbladder*parathyroid*pituitary*adipose
C5orf56,,
IRF1,P10914,megakaryocyte*dendritic cell*nk t cell*t cell cd4*t cell cd8*bonemarrow*seminal*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
IL5,P05113,testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*granulocyte*t cells*monocyte
IL13,P35225,testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*granulocyte*t cells*monocyte
KIF3A,Q9Y496,brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
GDF9,O60383,testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
LEAP2,Q969E1,liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
AFF4,Q9UHB7,megakaryocyte
ZCCHC10,Q8TBK6,
HSPA4,P34932,
VDAC1,P21796,megakaryocyte*skeletal*gallbladder*parathyroid*pituitary*adipose
TCF7,P36402,t cell cd4*t cell cd8*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*t cells*monocyte
SKP1,P63208,b cell*megakaryocyte*dendritic cell*nk cell monocyte*nk t cell*t cell cd4*t cell cd8*b cell
PPP2CA,P67775,megakaryocyte
CDKL3,Q8IVW4,testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
UBE2B,P63146,megakaryocyte*skeletal*gallbladder*parathyroid*pituitary*adipose
CDKN2AIPNL,Q96HQ2,skeletal*gallbladder*parathyroid*pituitary*adipose
JADE2,Q9NQC1,nk cell*cell*granulocyte*t cells*monocyte
SAR1B,Q9Y6B6,
CAMLG,P49069,
DDX46,Q7L014,megakaryocyte
C5orf24,Q7Z6I8,
TXNDC15,Q96J42,plasma cell*b cell*dendritic cell*erythroid cell*kupffer*macrophage*nk cell*cell*granulocyte*t cells*monocyte
PCBD2,Q9H0N5,skeletal*gallbladder*parathyroid*pituitary*adipose
H2AFY,,megakaryocyte*nk cell monocyte
CXCL14,O95715,skin*adrenal*tongue*esophagus*ovary*endometrium*breast*kidney*intestine*bonemarrow*seminal*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
TGFBI,Q15582,megakaryocyte*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*macrophage*nk cell*cell*granulocyte*t cells*monocyte
SMAD5,Q99717,
SPOCK1,Q08629,brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
HNRNPA0,Q13151,megakaryocyte*dendritic cell*nk t cell*t cell cd4*t cell cd8*b cell
MYOT,Q9UBF9,skeletal*gallbladder*parathyroid*pituitary*adipose
PKD2L2,Q9NZM6,testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
FAM13B,Q9NYF5,
NME5,P56597,testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
KIF20A,O95235,testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*erythroid cell*kupffer*macrophage*nk cell*cell*granulocyte*t cells*monocyte
CDC23,Q9UJX2,
CDC25C,P30307,testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*erythroid cell*kupffer*macrophage*nk cell*cell*granulocyte*t cells*monocyte
FAM53C,Q9NYF3,bonemarrow*seminal*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
REEP2,Q9BRK0,choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
EGR1,P18146,b cell*megakaryocyte*nk t cell*t cell cd4*t cell cd8*b cell
ETF1,P62495,
HSPA9,P38646,megakaryocyte
CTNNA1,P35221,
LRRTM2,O43300,brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
MATR3,P43243,t cells*monocyte
PAIP2,Q9BPZ3,b cell*megakaryocyte
SLC23A1,Q9UGH3,fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
MZB1,Q8WU39,lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*plasma cell*b cell*dendritic cell*erythroid cell*kupffer*macrophage*nk cell*cell*granulocyte*t cells*monocyte
SPATA24,Q86W54,testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
DNAJC18,Q9H819,testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
ECSCR,Q19T08,
TMEM173,,megakaryocyte
UBE2D2,P62837,b cell*megakaryocyte*dendritic cell*nk t cell*t cell cd4*t cell cd8*b cell
CXXC5,Q7LFL8,brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
PSD2,Q9BQI7,brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
NRG2,O14511,brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
PURA,Q00577,
IGIP,A6NJ69,brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
CYSTM1,Q9H1C7,stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
PFDN1,O60925,
HBEGF,Q99075,urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*monocyte
ANKHD1,Q8IWZ3,
EIF4EBP3,O60516,
APBB3,O95704,brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
SLC35A4,L0R6Q1,
NDUFA2,O43678,megakaryocyte
TMCO6,Q96DC7,
IK,Q13123,megakaryocyte
WDR55,Q9H6Y2,
DND1,Q8IYX4,testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
HARS,,
ZMAT2,Q96NC0,
TAF7,Q15545,
PCDHGA4,Q9Y5G9,
PCDHGB2,Q9Y5G2,
PCDHGA5,Q9Y5G8,
PCDHGB4,Q9UN71,
PCDHGA8,Q9Y5G5,
PCDHGA9,Q9Y5G4,
PCDHGB6,Q9Y5F9,brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
PCDHGA10,Q9Y5H3,brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
PCDHGA12,O60330,brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
PCDHGC3,Q9UN70,brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
PCDHGC4,Q9Y5F7,brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
PCDHGC5,Q9Y5F6,brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
RELL2,Q8NC24,pituitary*adipose
FCHSD1,Q86WN1,parathyroid*pituitary*adipose
KIAA0141,,megakaryocyte
RNF14,Q9UBS8,
GNPDA1,P46926,hofbauer*plasma cell*b cell*dendritic cell*erythroid cell*kupffer*macrophage*nk cell*cell*granulocyte*t cells*monocyte
NDFIP1,Q9BT67,megakaryocyte*t cell cd4*t cell cd8
ARHGAP26,Q9UNA1,
NR3C1,P04150,megakaryocyte*dendritic cell*erythroid cell*kupffer*macrophage*nk cell*cell*granulocyte*t cells*monocyte
HMHB1,O97980,testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*dendritic cell*erythroid cell*kupffer*macrophage*nk cell*cell*granulocyte*t cells*monocyte
YIPF5,Q969M3,
KCTD16,Q68DU8,brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
PRELID2,Q8N945,intestine*bonemarrow*seminal*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
PLAC8L1,A1L4L8,testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
GPR151,Q8TDV0,
PPP2R2B,Q00005,brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
DPYSL3,Q14195,
JAKMIP2,Q96AA8,pituitary*adipose
SCGB3A2,Q96PL1,lung*skin*adrenal*tongue*esophagus*ovary*endometrium*breast*kidney*intestine*bonemarrow*seminal*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
SPINK13,Q1W4C9,epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
FBXO38,Q6PIJ6,
ADRB2,P07550,granulocyte*t cells*monocyte
ABLIM3,O94929,liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
AFAP1L1,Q8TED9,skeletal*gallbladder*parathyroid*pituitary*adipose
GRPEL2,Q8TAA5,esophagus*ovary*endometrium*breast*kidney*intestine*bonemarrow*seminal*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
PCYOX1L,Q8NBM8,
IL17B,Q9UHF5,
CSNK1A1,P48729,megakaryocyte
SLC26A2,P50443,intestine*bonemarrow*seminal*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
PDGFRB,P09619,
SLC6A7,Q99884,brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
CAMK2A,Q9UQM7,skeletal*gallbladder*parathyroid*pituitary*adipose
TCOF1,Q13428,
RPS14,P62263,b cell*megakaryocyte*dendritic cell*nk cell monocyte*nk t cell*t cell cd4*t cell cd8*b cell
NDST1,P52848,
RBM22,Q9NW64,
DCTN4,Q9UJW0,
SMIM3,Q9BZL3,adipose*granulocyte*t cells*monocyte
ZNF300,Q96RE9,
GPX3,P22352,kidney*intestine*bonemarrow*seminal*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
TNIP1,Q15025,
ANXA6,P08133,megakaryocyte*dendritic cell*nk t cell*t cell cd8*b cell
CCDC69,A6NI79,skeletal*gallbladder*parathyroid*pituitary*adipose*monocyte
GM2A,P17900,hofbauer*plasma cell*b cell*dendritic cell*erythroid cell*kupffer*macrophage*nk cell*cell*granulocyte*t cells*monocyte
SLC36A1,Q7Z2H8,parathyroid*pituitary*adipose
SPARC,P09486,b cell*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
ATOX1,O00244,megakaryocyte
G3BP1,Q13283,
FAM114A2,Q9NRY5,
MFAP3,P55082,
GALNT10,Q86SR1,ovary*endometrium*breast*kidney*intestine*bonemarrow*seminal*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
SAP30L,Q9HAJ7,
LARP1,Q6PKG0,
FAXDC2,Q96IV6,parathyroid*pituitary*adipose
CNOT8,Q9UFF9,
MRPL22,Q9NWU5,
SGCD,Q92629,skeletal*gallbladder*parathyroid*pituitary*adipose
TIMD4,Q96H15,testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
MED7,O43513,
ITK,Q08881,lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*t cells*monocyte
FNDC9,Q8TBE3,pituitary*adipose
ADAM19,Q9H013,dendritic cell*erythroid cell*kupffer*macrophage*nk cell*cell*granulocyte*t cells*monocyte
NIPAL4,Q0D2K0,brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
SOX30,O94993,testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
THG1L,Q9NWX6,
CLINT1,Q14677,megakaryocyte
EBF1,Q9UH73,adipose*b cell*dendritic cell*erythroid cell*kupffer*macrophage*nk cell*cell*granulocyte*t cells*monocyte
TTC1,Q99614,
C1QTNF2,Q9BXJ5,
SLU7,O95391,
PTTG1,O95997,testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*erythroid cell*kupffer*macrophage*nk cell*cell*granulocyte*t cells*monocyte
GABRB2,P47870,brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
CCNG1,P51959,
NUDCD2,Q8WVJ2,
MAT2B,Q9NZL9,megakaryocyte
RARS,,
PANK3,Q9H999,
SLIT3,O75094,
SPDL1,Q96EA4,testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
DOCK2,Q92608,megakaryocyte*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*monocyte
FOXI1,Q12951,salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
LCP2,Q13094,megakaryocyte*dendritic cell*nk t cell*t cell cd4*t cell cd8*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*monocyte
KCNMB1,Q16558,smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
RANBP17,Q9H2T7,
NPM1,P06748,b cell*megakaryocyte*dendritic cell*nk cell monocyte*nk t cell*t cell cd4*t cell cd8*b cell
FBXW11,Q9UKB1,dendritic cell*erythroid cell*kupffer*macrophage*nk cell*cell*granulocyte*t cells*monocyte
UBTD2,Q8WUN7,
SH3PXD2B,A1X283,
RPL26L1,Q9UNX3,
ATP6V0E1,O15342,b cell*megakaryocyte*dendritic cell*nk cell monocyte*t cell cd8*b cell
CREBRF,Q8IUR6,bonemarrow*seminal*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*monocyte
BNIP1,Q12981,
BOD1,Q96IK1,
CPEB4,Q17RY0,
MSX2,P35548,parathyroid*pituitary*adipose
SFXN1,Q9H9B4,liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
HRH2,P25021,heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*macrophage*nk cell*cell*granulocyte*t cells*monocyte
CPLX2,Q6PUV4,epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
THOC3,Q96J01,
SIMC1,Q8NDZ2,ovary*endometrium*breast*kidney*intestine*bonemarrow*seminal*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
KIAA1191,Q96A73,
ARL10,Q8N8L6,
NOP16,Q9Y3C1,
HIGD2A,Q9BW72,b cell*megakaryocyte*nk cell monocyte*t cell cd4*t cell cd8*b cell
CLTB,P09497,megakaryocyte
FAF2,Q96CS3,
SNCB,Q16143,brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
TSPAN17,Q96FV3,erythroid cell*kupffer*macrophage*nk cell*cell*granulocyte*t cells*monocyte
HK3,P52790,lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*monocyte
UIMC1,Q96RL1,
ZNF346,Q9UL40,
RAB24,Q969Q5,megakaryocyte*plasma cell*b cell*dendritic cell*erythroid cell*kupffer*macrophage*nk cell*cell*granulocyte*t cells*monocyte
MXD3,Q9BW11,bonemarrow*seminal*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*erythroid cell*kupffer*macrophage*nk cell*cell*granulocyte*t cells*monocyte
PRELID1,Q9Y255,b cell*megakaryocyte*dendritic cell*nk cell monocyte
LMAN2,Q12907,megakaryocyte
RGS14,O43566,megakaryocyte*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
SLC34A1,Q06495,kidney*intestine*bonemarrow*seminal*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
GRK6,P43250,bonemarrow*seminal*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*monocyte
PRR7,Q8TB68,brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
DBN1,Q16643,
PDLIM7,Q9NR12,skeletal*gallbladder*parathyroid*pituitary*adipose
DOK3,Q7L591,lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*monocyte
DDX41,Q9UJV9,
FAM193B,Q96PV7,
TMED9,Q9BVK6,megakaryocyte
B4GALT7,Q9UBV7,
